t,ax,ay,az,gx,gy,gz,gps_x,gps_y,gps_z,baro,mag_x,mag_y,mag_z,lidar,uwb0,uwb1,uwb2,uwb3,flow_x,flow_y,gpsv_x,gpsv_y,gpsv_z,dvl_x,dvl_y,dvl_z,att_w,att_x,att_y,att_z,tp_x,tp_y,tp_z,tv_x,tv_y,tv_z,tq_w,tq_x,tq_y,tq_z
0.00000,3.32172,3.32999,8.78506,0.06639,0.03199,0.19769,40.95520,-0.25408,20.94806,19.57379,-0.27770,-0.57972,-0.76668,21.54072,111.61025,55.26705,58.95976,104.82456,8.93730,0.23521,0.05409,8.41306,3.12826,8.81117,0.04109,-0.02288,0.68749,0.17589,-0.06462,0.70160,40.00000,0.00000,20.00000,-0.00000,8.37758,2.95679,0.68367,0.18053,-0.05730,0.70478
0.00500,3.34283,3.31391,8.84609,0.07226,0.03714,0.19733,,,,,,,,,,,,,,,,,,,,,,,,,39.99998,0.04189,20.01478,-0.00877,8.37758,2.95679,0.68330,0.18056,-0.05721,0.70514
0.01000,3.25101,3.35057,8.79895,0.06587,0.04146,0.19212,,,,,,,,,,,,,,,,,,,,,,,,,39.99991,0.08378,20.02957,-0.01755,8.37756,2.95677,0.68293,0.18059,-0.05711,0.70550
0.01500,3.29156,3.32202,8.81282,0.07497,0.03462,0.19702,,,,,,,,,,,,,,,,,,,,,,,,,39.99980,0.12566,20.04435,-0.02632,8.37754,2.95675,0.68257,0.18062,-0.05701,0.70585
0.02000,3.24669,3.41173,8.83987,0.07000,0.03483,0.19716,,,,,,,,,,,,,,,,,,,,,,,,,39.99965,0.16755,20.05914,-0.03509,8.37751,2.95671,0.68220,0.18065,-0.05692,0.70621
0.02500,3.38710,3.32189,8.74335,0.06367,0.03376,0.19246,,,,,-0.30364,-0.57763,-0.78044,,,,,,,,,,,,,,,,,,39.99945,0.20944,20.07392,-0.04386,8.37747,2.95667,0.68183,0.18068,-0.05682,0.70657
0.03000,3.31129,3.29838,8.78530,0.06060,0.03811,0.19662,,,,,,,,,,,,,,,,,,,,,,,,,39.99921,0.25133,20.08870,-0.05264,8.37742,2.95661,0.68146,0.18070,-0.05673,0.70693
0.03500,3.34461,3.30737,8.82115,0.06882,0.03162,0.19001,,,,,,,,,,,,,9.14867,0.06164,,,,,,,,,,,39.99893,0.29321,20.10348,-0.06141,8.37736,2.95655,0.68109,0.18073,-0.05663,0.70728
0.04000,3.24255,3.37766,8.76037,0.07409,0.04164,0.19995,,,,,,,,21.83637,,,,,,,,,,,,,,,,,39.99860,0.33510,20.11827,-0.07018,8.37729,2.95647,0.68072,0.18076,-0.05653,0.70764
0.04500,3.27954,3.29510,8.76840,0.07804,0.03168,0.19342,,,,,,,,,,,,,,,,,,,,,,,,,39.99822,0.37699,20.13305,-0.07896,8.37721,2.95638,0.68035,0.18079,-0.05643,0.70800
0.05000,3.37898,3.33361,8.87705,0.06677,0.02909,0.19621,,,,,,,,,,,,,,,,,,,,,,,,,39.99781,0.41887,20.14783,-0.08773,8.37712,2.95629,0.67998,0.18081,-0.05634,0.70835
0.05500,3.29483,3.29490,8.81669,0.07458,0.03495,0.19478,,,,19.40820,-0.31113,-0.53154,-0.81534,,,,,,,,,,,8.87569,0.02832,-0.03338,0.68117,0.18328,-0.05257,0.70686,39.99735,0.46076,20.16261,-0.09650,8.37702,2.95618,0.67961,0.18084,-0.05624,0.70871
0.06000,3.36006,3.33472,8.72076,0.07376,0.03672,0.19803,,,,,,,,,,,,,,,,,,,,,,,,,39.99684,0.50264,20.17739,-0.10527,8.37692,2.95607,0.67924,0.18086,-0.05614,0.70907
0.06500,3.35349,3.30368,8.86435,0.07775,0.03258,0.19407,,,,,,,,,,,,,,,,,,,,,,,,,39.99629,0.54453,20.19217,-0.11405,8.37680,2.95594,0.67887,0.18089,-0.05604,0.70942
0.07000,3.32589,3.30673,8.84029,0.07221,0.03867,0.19681,,,,,,,,,,,,,8.57344,-0.13305,,,,,,,,,,,39.99570,0.58641,20.20695,-0.12282,8.37668,2.95580,0.67850,0.18091,-0.05594,0.70978
0.07500,3.28783,3.36210,8.72650,0.07221,0.03783,0.18943,,,,,,,,,,,,,,,,,,,,,,,,,39.99507,0.62829,20.22173,-0.13159,8.37655,2.95566,0.67813,0.18093,-0.05584,0.71013
0.08000,3.32196,3.31424,8.70580,0.07488,0.03813,0.19523,,,,,-0.29895,-0.56134,-0.79004,21.87586,,,,,,,,,,,,,,,,,39.99439,0.67018,20.23651,-0.14036,8.37640,2.95550,0.67776,0.18096,-0.05574,0.71049
0.08500,3.29336,3.41127,8.80730,0.07458,0.03549,0.19325,,,,,,,,,,,,,,,,,,,,,,,,,39.99366,0.71206,20.25129,-0.14913,8.37625,2.95533,0.67739,0.18098,-0.05564,0.71084
0.09000,3.28290,3.32695,8.83738,0.06596,0.04012,0.20046,,,,,,,,,,,,,,,,,,,,,,,,,39.99289,0.75394,20.26606,-0.15790,8.37609,2.95516,0.67702,0.18100,-0.05554,0.71120
0.09500,3.29526,3.37531,8.81677,0.07474,0.03814,0.19062,,,,,,,,,,,,,,,,,,,,,,,,,39.99208,0.79582,20.28084,-0.16668,8.37592,2.95497,0.67664,0.18103,-0.05543,0.71155
0.10000,3.29033,3.41069,8.71560,0.07182,0.03467,0.19619,,,,20.93863,-0.30850,-0.55903,-0.77798,,112.44560,56.09059,57.68133,104.79437,8.99950,-0.04716,,,,8.91735,-0.06310,-0.00445,0.67879,0.18546,-0.05409,0.70847,39.99123,0.83770,20.29561,-0.17545,8.37574,2.95477,0.67627,0.18105,-0.05533,0.71191
