t,aided,imu_only
0.000,0.22187,4.24620
0.100,0.14172,4.26383
0.200,0.12123,4.28090
0.300,0.17019,4.29753
0.400,0.18547,4.31439
0.500,0.16034,4.33180
0.600,0.15769,4.35047
0.700,0.17273,4.37090
0.800,0.20591,4.39397
0.900,0.21043,4.42057
1.000,0.17296,4.45148
1.100,0.17222,4.48761
1.200,0.17550,4.53004
1.300,0.14575,4.57982
1.400,0.15338,4.63810
1.500,0.14655,4.70595
1.600,0.15413,4.78439
1.700,0.15347,4.87437
1.800,0.15023,4.97689
1.900,0.14855,5.09274
2.000,0.13370,5.22260
2.100,0.11185,5.36719
2.200,0.10704,5.52706
2.300,0.08131,5.70257
2.400,0.08628,5.89405
2.500,0.10042,6.10173
2.600,0.09854,6.32568
2.700,0.09373,6.56565
2.800,0.08465,6.82172
2.900,0.08151,7.09416
3.000,0.07197,7.38276
3.100,0.06702,7.68728
3.200,0.07141,8.00756
3.300,0.06843,8.34324
3.400,0.06376,8.69403
3.500,0.06713,9.05963
3.600,0.06600,9.44012
3.700,0.06133,9.83522
3.800,0.06770,10.24478
3.900,0.06934,10.66843
4.000,0.07998,11.10623
4.100,0.07093,11.55801
4.200,0.06465,12.02335
4.300,0.07524,12.50216
4.400,0.08293,12.99438
4.500,0.06657,13.49977
4.600,0.07356,14.01829
4.700,0.06695,14.54971
4.800,0.05865,15.09404
4.900,0.05066,15.65105
5.000,0.04144,16.22083
5.100,0.03104,16.80335
5.200,0.02683,17.39844
5.300,0.02199,18.00575
5.400,0.02595,18.62528
5.500,0.03007,19.25726
5.600,0.03982,19.90142
5.700,0.03926,20.55765
5.800,0.03790,21.22605
5.900,0.03700,21.90642
6.000,0.02745,22.59894
6.100,0.02655,23.30346
6.200,0.02725,24.01986
6.300,0.02813,24.74819
6.400,0.02706,25.48840
6.500,0.02206,26.24064
6.600,0.02444,27.00489
6.700,0.02654,27.78093
6.800,0.02520,28.56887
6.900,0.03178,29.36881
7.000,0.01927,30.18084
7.100,0.03828,31.00508
7.200,0.03323,31.84127
7.300,0.02555,32.68949
7.400,0.02641,33.54977
7.500,0.01931,34.42201
7.600,0.03204,35.30621
7.700,0.02826,36.20233
7.800,0.02560,37.11049
7.900,0.01643,38.03064
8.000,0.01370,38.96278
8.100,0.00906,39.90707
8.200,0.01435,40.86347
8.300,0.01816,41.83208
8.400,0.01964,42.81299
8.500,0.01976,43.80598
8.600,0.02751,44.81116
8.700,0.03334,45.82862
8.800,0.02946,46.85835
8.900,0.02588,47.90051
9.000,0.02263,48.95493
9.100,0.03091,50.02185
9.200,0.02419,51.10145
9.300,0.02697,52.19365
9.400,0.02778,53.29842
9.500,0.02168,54.41565
9.600,0.02533,55.54547
9.700,0.02988,56.68793
9.800,0.02913,57.84297
9.900,0.02771,59.01083
10.000,0.02054,60.19150
10.100,0.02373,61.38511
10.200,0.02542,62.59169
10.300,0.02931,63.81099
10.400,0.02406,65.04298
10.500,0.02440,66.28774
10.600,0.02870,67.54539
10.700,0.03277,68.81564
10.800,0.03801,70.09870
10.900,0.03732,71.39444
11.000,0.04361,72.70309
11.100,0.02978,74.02460
11.200,0.02829,75.35895
11.300,0.02599,76.70640
11.400,0.03019,78.06694
11.500,0.03034,79.44052
11.600,0.02681,80.82714
11.700,0.02443,82.22691
11.800,0.03099,83.63968
11.900,0.03412,85.06548
12.000,0.03439,86.50449
12.100,0.04125,87.95643
12.200,0.04654,89.42137
12.300,0.04353,90.89930
12.400,0.05182,92.39029
12.500,0.05240,93.89439
12.600,0.04489,95.41174
12.700,0.04554,96.94228
12.800,0.05403,98.48598
12.900,0.04274,100.04273
13.000,0.05283,101.61268
13.100,0.05688,103.19582
13.200,0.04546,104.79224
13.300,0.04228,106.40188
13.400,0.03008,108.02467
13.500,0.03178,109.66062
13.600,0.04177,111.30981
13.700,0.03820,112.97213
13.800,0.03745,114.64756
13.900,0.04655,116.33616
14.000,0.04768,118.03789
14.100,0.05217,119.75270
14.200,0.06043,121.48057
14.300,0.06293,123.22164
14.400,0.06913,124.97567
14.500,0.06387,126.74273
14.600,0.06833,128.52286
14.700,0.07282,130.31614
14.800,0.06930,132.12245
14.900,0.07021,133.94167
15.000,0.06577,135.77377
15.100,0.06818,137.61870
15.200,0.05814,139.47653
15.300,0.06579,141.34730
15.400,0.06835,143.23089
15.500,0.07084,145.12713
15.600,0.07690,147.03611
15.700,0.08200,148.95799
15.800,0.07436,150.89260
15.900,0.07510,152.83967
16.000,0.06548,154.79934
16.100,0.06725,156.77186
16.200,0.08310,158.75703
16.300,0.07964,160.75460
16.400,0.08815,162.76453
16.500,0.07660,164.78694
16.600,0.08420,166.82175
16.700,0.09318,168.86871
16.800,0.10500,170.92788
16.900,0.09826,172.99906
17.000,0.10589,175.08233
17.100,0.10523,177.17783
17.200,0.09607,179.28563
17.300,0.10406,181.40561
17.400,0.10011,183.53759
17.500,0.10174,185.68167
17.600,0.09774,187.83774
17.700,0.10396,190.00581
17.800,0.09797,192.18587
17.900,0.08449,194.37762
18.000,0.08885,196.58091
18.100,0.07858,198.79590
18.200,0.08269,201.02257
18.300,0.07971,203.26106
18.400,0.08200,205.51119
18.500,0.06791,207.77293
18.600,0.06747,210.04628
18.700,0.05429,212.33110
18.800,0.05712,214.62753
18.900,0.06142,216.93557
19.000,0.07101,219.25497
19.100,0.06924,221.58570
19.200,0.07925,223.92781
19.300,0.07043,226.28132
19.400,0.06785,228.64619
19.500,0.08187,231.02231
19.600,0.08257,233.40974
19.700,0.08492,235.80834
19.800,0.08100,238.21804
19.900,0.06882,240.63876
20.000,0.07085,243.07074
20.100,0.07521,245.51394
20.200,0.08058,247.96823
20.300,0.08012,250.43372
20.400,0.07137,252.91031
20.500,0.06752,255.39792
20.600,0.06499,257.89665
20.700,0.07233,260.40648
20.800,0.06159,262.92754
20.900,0.04657,265.45975
21.000,0.05480,268.00303
21.100,0.04780,270.55732
21.200,0.04905,273.12281
21.300,0.04800,275.69940
21.400,0.04587,278.28722
21.500,0.04970,280.88623
21.600,0.06011,283.49632
21.700,0.05877,286.11767
21.800,0.05714,288.75039
21.900,0.05691,291.39439
22.000,0.05004,294.04970
22.100,0.05440,296.71643
22.200,0.06075,299.39470
22.300,0.05946,302.08457
22.400,0.04900,304.78593
22.500,0.04206,307.49895
22.600,0.04020,310.22359
22.700,0.04566,312.95978
22.800,0.03549,315.70767
22.900,0.03358,318.46726
23.000,0.03886,321.23863
23.100,0.03785,324.02178
23.200,0.02694,326.81668
23.300,0.03293,329.62348
23.400,0.03463,332.44219
23.500,0.03845,335.27296
23.600,0.04204,338.11573
23.700,0.03891,340.97085
23.800,0.04310,343.83829
23.900,0.04394,346.71811
24.000,0.04393,349.61032
24.100,0.03745,352.51527
24.200,0.03847,355.43282
24.300,0.04758,358.36292
24.400,0.05530,361.30580
24.500,0.04760,364.26138
24.600,0.05157,367.22962
24.700,0.04756,370.21068
24.800,0.04410,373.20446
24.900,0.04562,376.21115
25.000,0.03712,379.23102
25.100,0.04230,382.26403
25.200,0.04757,385.31034
25.300,0.03220,388.36977
25.400,0.02913,391.44252
25.500,0.01940,394.52870
25.600,0.01924,397.62848
25.700,0.01474,400.74177
25.800,0.01513,403.86848
25.900,0.01539,407.00849
26.000,0.01822,410.16230
26.100,0.02082,413.32989
26.200,0.02685,416.51137
26.300,0.02410,419.70675
26.400,0.03314,422.91635
26.500,0.03612,426.14014
26.600,0.02986,429.37796
26.700,0.03495,432.62987
26.800,0.03591,435.89613
26.900,0.03136,439.17663
27.000,0.03291,442.47135
27.100,0.03161,445.78051
27.200,0.03163,449.10419
27.300,0.03995,452.44233
27.400,0.04540,455.79471
27.500,0.06398,459.16161
27.600,0.06235,462.54308
27.700,0.06421,465.93916
27.800,0.05006,469.34988
27.900,0.05098,472.77514
28.000,0.05245,476.21516
28.100,0.05065,479.66982
28.200,0.03776,483.13916
28.300,0.02530,486.62307
28.400,0.01964,490.12191
28.500,0.02825,493.63572
28.600,0.02796,497.16434
28.700,0.02288,500.70770
28.800,0.02478,504.26583
28.900,0.01598,507.83887
29.000,0.01576,511.42687
29.100,0.02468,515.02966
29.200,0.02305,518.64723
29.300,0.02386,522.27959
29.400,0.01980,525.92675
29.500,0.02146,529.58882
29.600,0.02975,533.26601
29.700,0.02378,536.95806
29.800,0.02407,540.66470
29.900,0.02706,544.38611
