t,ex,s3x,ez,s3z
0.000,-0.1536,0.7816,0.0769,0.4395
0.100,-0.3103,0.5689,0.0646,0.2551
0.200,-0.2595,0.4605,0.0593,0.1821
0.300,-0.1293,0.4030,0.0313,0.1562
0.400,-0.1137,0.3587,0.0203,0.1333
0.500,-0.0499,0.3296,0.0170,0.1217
0.600,-0.0917,0.3042,0.0230,0.1098
0.700,-0.0532,0.2861,0.0030,0.1031
0.800,-0.0736,0.2691,0.0084,0.0956
0.900,-0.0886,0.2565,0.0122,0.0913
1.000,-0.0767,0.2442,-0.0011,0.0861
1.100,-0.0786,0.2452,0.0008,0.0836
1.200,-0.0931,0.2359,-0.0019,0.0812
1.300,-0.1123,0.2265,-0.0080,0.0778
1.400,-0.1169,0.2193,-0.0171,0.0761
1.500,-0.1081,0.2118,-0.0171,0.0735
1.600,-0.1040,0.2061,-0.0191,0.0724
1.700,-0.0781,0.1999,-0.0264,0.0703
1.800,-0.0596,0.1952,-0.0210,0.0695
1.900,-0.0573,0.1900,-0.0212,0.0678
2.000,-0.0583,0.1860,-0.0320,0.0674
2.100,-0.0368,0.1816,-0.0270,0.0660
2.200,-0.0356,0.1782,-0.0219,0.0658
2.300,-0.0441,0.1743,-0.0256,0.0646
2.400,-0.0274,0.1714,-0.0363,0.0646
2.500,-0.0482,0.1680,-0.0262,0.0636
2.600,-0.0195,0.1654,-0.0140,0.0638
2.700,-0.0287,0.1624,-0.0053,0.0629
2.800,-0.0289,0.1601,-0.0043,0.0632
2.900,-0.0285,0.1573,-0.0108,0.0625
3.000,-0.0280,0.1553,-0.0207,0.0628
3.100,-0.0309,0.1527,-0.0148,0.0622
3.200,-0.0541,0.1509,-0.0277,0.0626
3.300,-0.0539,0.1486,-0.0213,0.0621
3.400,-0.0554,0.1468,-0.0256,0.0625
3.500,-0.0657,0.1447,-0.0178,0.0621
3.600,-0.0883,0.1431,-0.0011,0.0626
3.700,-0.0887,0.1411,0.0046,0.0622
3.800,-0.0991,0.1396,-0.0015,0.0627
3.900,-0.0772,0.1377,-0.0090,0.0624
4.000,-0.0908,0.1363,-0.0048,0.0629
4.100,-0.0914,0.1345,0.0058,0.0626
4.200,-0.0850,0.1332,0.0143,0.0631
4.300,-0.0849,0.1315,0.0134,0.0629
4.400,-0.0959,0.1302,0.0170,0.0634
4.500,-0.1137,0.1286,0.0203,0.0632
4.600,-0.1106,0.1274,0.0296,0.0637
4.700,-0.1135,0.1259,0.0366,0.0635
4.800,-0.1106,0.1248,0.0317,0.0640
4.900,-0.0931,0.1233,0.0272,0.0638
5.000,-0.0799,0.1222,0.0268,0.0644
5.100,-0.0802,0.1208,0.0187,0.0641
5.200,-0.0825,0.1198,0.0219,0.0646
5.300,-0.0708,0.1185,0.0280,0.0644
5.400,-0.0726,0.1175,0.0233,0.0649
5.500,-0.0760,0.1163,0.0329,0.0647
5.600,-0.0748,0.1153,0.0288,0.0652
5.700,-0.0768,0.1141,0.0288,0.0649
5.800,-0.0804,0.1132,0.0265,0.0654
5.900,-0.0748,0.1121,0.0369,0.0651
6.000,-0.0631,0.1112,0.0313,0.0656
6.100,-0.0584,0.1102,0.0347,0.0653
6.200,-0.0512,0.1094,0.0369,0.0657
6.300,-0.0463,0.1083,0.0356,0.0654
6.400,-0.0420,0.1076,0.0374,0.0658
6.500,-0.0475,0.1066,0.0375,0.0655
6.600,-0.0440,0.1059,0.0373,0.0658
6.700,-0.0446,0.1050,0.0358,0.0655
6.800,-0.0511,0.1043,0.0298,0.0659
6.900,-0.0559,0.1034,0.0286,0.0655
