t,pos,full
5.00,2.2548,15.7092
5.10,2.3271,16.0018
5.20,2.4003,15.9297
5.30,2.3376,15.2111
5.40,2.3465,15.4105
5.50,2.3753,15.4229
5.60,2.4466,15.5865
5.70,2.5572,15.6697
5.80,2.5072,15.5350
5.90,2.4141,15.2541
6.00,2.3724,15.4218
6.10,2.1739,14.5553
6.20,2.1609,14.4928
6.30,2.1894,14.4045
6.40,2.4390,14.9235
6.50,2.4550,14.8583
6.60,2.5240,14.2028
6.70,2.5978,14.2838
6.80,2.7757,14.5740
6.90,2.9953,14.9249
7.00,2.9221,14.5831
7.10,3.0980,14.8813
7.20,3.1151,14.8376
7.30,3.1471,14.6380
7.40,3.1918,15.1122
7.50,3.0894,15.5552
7.60,3.0399,15.4885
7.70,3.1186,15.5711
7.80,3.1072,15.5203
7.90,2.9454,15.3565
8.00,3.0133,15.2073
8.10,2.8002,15.1452
8.20,2.8451,15.5602
8.30,2.9373,15.4679
8.40,3.0435,15.3086
8.50,2.9435,15.5574
8.60,2.8210,15.6040
8.70,2.6874,15.4378
8.80,2.6903,15.6209
8.90,2.7484,15.9018
9.00,2.6808,15.7541
9.10,2.6309,15.5940
9.20,2.4959,15.7214
9.30,2.3498,15.5616
9.40,2.3299,15.7236
9.50,2.2137,15.3042
9.60,2.2452,15.0915
9.70,2.3452,15.2599
9.80,2.5662,15.3897
9.90,2.5002,14.9285
10.00,2.5472,15.0598
10.10,2.5327,15.3185
10.20,2.4870,15.7630
10.30,2.5475,15.8376
10.40,2.5949,16.0414
10.50,2.5742,16.6160
10.60,2.6047,16.2955
10.70,2.5182,16.1377
10.80,2.3891,15.8126
10.90,2.3266,15.7066
11.00,2.6429,16.3875
11.10,2.8547,16.7966
11.20,2.8030,16.0615
11.30,2.6114,16.1038
11.40,2.7082,16.2042
11.50,2.7666,16.4647
11.60,2.8581,16.4836
11.70,3.1578,17.1316
11.80,3.0240,16.5491
11.90,2.8913,16.7848
12.00,2.7704,16.5681
12.10,2.8132,16.2633
12.20,2.8229,16.4458
12.30,2.8933,16.7897
12.40,2.6908,16.2919
12.50,2.9526,16.6101
12.60,2.9569,17.1548
12.70,2.9140,17.4289
12.80,2.9966,17.1467
12.90,2.9409,16.7485
13.00,2.8350,17.2281
13.10,2.8843,17.4190
13.20,2.9924,17.3939
13.30,2.8730,17.2382
13.40,3.0106,17.3085
13.50,2.8252,17.3255
13.60,2.7789,17.5201
13.70,2.8445,17.4516
13.80,2.8596,17.9773
13.90,2.9700,18.2648
14.00,3.1858,18.4781
14.10,3.2595,18.4300
14.20,3.2945,18.3980
14.30,3.1584,17.8147
14.40,3.0949,18.1283
14.50,2.9899,18.1373
14.60,3.1032,18.0199
14.70,3.1649,17.5862
14.80,3.1528,17.8720
14.90,3.0778,18.4417
15.00,3.2301,18.0322
15.10,3.1315,17.9064
15.20,3.3869,17.6458
15.30,3.4180,17.3671
15.40,3.1799,16.7252
15.50,3.1794,16.3259
15.60,3.1707,16.4869
15.70,3.2670,16.1678
15.80,3.2263,16.3671
15.90,3.3075,16.2850
16.00,3.3150,16.2568
16.10,3.3254,16.3391
16.20,3.1949,16.5308
16.30,3.2908,17.2757
16.40,3.3968,17.5935
16.50,3.4503,17.3917
16.60,3.3646,17.6055
16.70,3.4480,16.9506
16.80,3.2901,16.8167
16.90,3.1019,16.4499
17.00,3.2228,16.7292
17.10,3.1530,16.5613
17.20,3.1130,16.1357
17.30,3.0825,16.0228
17.40,2.8633,15.8864
17.50,2.7344,15.9442
17.60,2.7220,15.6164
17.70,2.9124,16.0411
17.80,2.7126,15.7922
17.90,2.6501,15.8713
18.00,2.6626,15.9292
18.10,2.5345,15.2531
18.20,2.5031,15.4234
18.30,2.4732,15.4204
18.40,2.6079,15.4774
18.50,2.7811,16.1109
18.60,2.6601,16.1140
18.70,2.4668,15.7078
18.80,2.5045,16.0562
18.90,2.5639,15.5671
19.00,2.5350,15.4207
19.10,2.5597,15.9545
19.20,2.6328,15.9631
19.30,2.6990,16.0495
19.40,2.8117,15.9527
19.50,2.7105,16.1261
19.60,2.9689,16.2988
19.70,3.0344,16.0608
19.80,3.1774,16.3985
19.90,3.0825,16.7700
20.00,2.8750,16.2213
20.10,2.8160,16.5787
20.20,2.9213,16.5515
20.30,2.8930,16.8786
20.40,3.0554,16.9028
20.50,3.1770,16.8701
20.60,3.1192,17.3840
20.70,3.2714,17.5225
20.80,3.2631,17.8308
20.90,3.2984,17.4298
21.00,3.3129,17.5764
21.10,3.5143,18.1182
21.20,3.2908,17.6789
21.30,3.3076,17.7420
21.40,3.4117,17.9691
21.50,3.3959,18.5829
21.60,3.4042,18.7390
21.70,3.2421,18.4489
21.80,3.0429,17.9480
21.90,3.1428,18.0560
22.00,3.2115,17.7754
22.10,3.0949,17.7260
22.20,3.0201,17.6848
22.30,2.9563,17.9611
22.40,2.8248,18.1313
22.50,2.9836,18.0081
22.60,2.9793,17.7548
22.70,2.8967,17.2736
22.80,2.9697,17.4576
22.90,3.1304,17.9749
23.00,3.2865,17.9146
23.10,3.1894,17.5715
23.20,3.1537,17.8497
23.30,3.2342,17.8961
23.40,3.1167,17.5322
23.50,3.1520,17.3484
23.60,3.1099,17.1922
23.70,3.3224,17.4070
23.80,3.4449,17.6182
23.90,3.6086,17.5287
24.00,3.6266,17.4164
24.10,3.4678,17.2301
24.20,3.4845,17.2088
24.30,3.3610,17.5659
24.40,3.2251,16.7348
24.50,3.2415,16.4027
24.60,3.2094,16.2075
24.70,3.1474,16.0640
24.80,3.0460,16.1561
24.90,2.9716,16.1799
25.00,2.8077,15.8992
25.10,2.6329,15.7584
25.20,2.6046,15.4823
